Capitulo,Personajes,Sentimiento,Intensidad,Texto
Chapter 10 - The house of count.txt,"Harry Potter, Ron Weasley, Hermione Granger",Friendship,0.7,Harry offered to share his book with both of them 
Chapter 10 - The house of count.txt,"Harry Potter, Hermione Granger",Annoyance,0.4,Hermione  meanwhile  was resolutely plowing on with what she called the 'official' instructions  but becoming increasingly bad-tempered as they yielded poorer results than the Prince's.
Chapter 10 - The house of count.txt,"Harry Potter, Ron Weasley",Friendship,0.8,Although Harry had offered to share his book with both of them  Ron had more difficulty deciphering the handwriting than Harry did  and could not keep asking Harry to read aloud or it might look suspicious.
Chapter 10 - The house of count.txt,"Harry Potter, Hermione Granger",Annoyance,0.7,Hermione seemed to have no answer to this. She merely scowled and twitched her essay on The Principles of Rematerialization away from Ron  who was trying to read it upside down.
Chapter 10 - The house of count.txt,"Harry Potter, Hermione Granger",Friendship,0.9,We'll wait up  we want to hear what he teaches you!
Chapter 10 - The house of count.txt,"Harry Potter, Ron Weasley",Friendship,0.9,"Hope it goes okay "" said Ron  and the pair of them watched Harry leave through the portrait hole"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,1.0,"Good evening  sir "" said Harry  walking into the headmaster's office"
Chapter 10 - The house of count.txt,"Albus Dumbledore, Harry Potter",Gratitude,1.0,"Ah  good evening  Harry. Sit down "" said Dumbledore  smil-ing"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.8,You must have been busy  a detention under your belt already!
Chapter 10 - The house of count.txt,"Albus Dumbledore, Harry Potter",Gratitude,1.0,I have arranged with Professor Snape that you will do your de-tention next Saturday instead.
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.8,"Right "" said Harry  who had more pressing matters on his mind than Snapes detention  and now looked around surreptitiously for some indication of what Dumbledore was planning to do with him this evening"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.9,"So  Harry "" said Dumbledore  in a businesslike voice. ""You have been wondering  I am sure  what I have planned for you dur-ing these �� for want of a better word �� lessons?"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.8,Yes  sir.
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Surprise,0.8,"You said  at the end of last term  you were going to tell me everything "" said Harry. It was hard to keep a note of accusation from his voice. ""Sir "" he added"
Chapter 10 - The house of count.txt,"Albus Dumbledore, Harry Potter",Gratitude,1.0,"And so I did "" said Dumbledore placidly. ""I told you everything I know. From this point forth  we shall be leaving the firm founda-tion of fact and journeying together through the murky marshes of memory into thickets of wildest guesswork"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.9,"But you think you're right?"" said Harry"
Chapter 10 - The house of count.txt,"Harry Potter, Albus Dumbledore",Friendship,0.8,Shall I  sir?
Chapter 10 - The house of count.txt,"Albus Dumbledore, Harry Potter",Gratitude,0.9,No matter  Harry ��
