Personaje,Gratitude,Surprise,Fear,Happy,Sad,Disgust,Envy,Betrayal,Romance,Friendships,Angers
Harry Potter,0.7913194444444449,0.7915492957746475,0.8192307692307691,0.8276923076923076,0.7487179487179488,0.7605263157894737,0.6124999999999999,0.8272727272727274,0.71,0.7547619047619054,0.8958839406207825
Ron Weasley,0.816,0.8028571428571427,0.8142857142857142,0.8210526315789475,0.7766666666666667,0.7520833333333332,0.6555555555555554,1.0,0.86,0.7133333333333332,0.8791666666666669
Hermione Granger,0.8107142857142857,0.8206896551724138,0.8000000000000002,0.8000000000000002,0.6911764705882353,0.7717391304347828,0.7090909090909091,0.95,0.875,0.728181818181818,0.8523809523809525
Albus Dumbledore,0.7671052631578946,0.796610169491525,0.8960526315789471,0.8727272727272727,0.8,0.8250000000000001,0.6125,0.7181818181818183,,0.8323593073593073,0.9866666666666667
Ogden,0.8,,1.0,,,1.0,,0.8,,,1.0
Morfin,,,0.75,,0.9,0.9,0.6,0.9,,,0.9666666666666667
Merope,0.8,,0.8,,0.9,0.9,0.7,0.9,,,0.9
Tom Riddle,0.72,0.7666666666666666,0.9083333333333333,0.6666666666666666,,0.9,,,,0.66,1.0
Molly Weasley,0.8500000000000001,0.5333333333333333,0.86,0.9125,0.8500000000000001,0.4666666666666666,,,1.0,0.8375,0.9
Fleur,0.7999999999999999,0.55,,1.0,,0.9,,,1.0,,0.9
Arthur Weasley,0.7666666666666666,0.55,0.75,1.0,,0.5,,,,0.95,0.9
Ginny,0.7999999999999999,0.6,0.6571428571428573,0.9400000000000001,0.7333333333333333,0.85,0.7,,0.8333333333333334,0.7392857142857143,0.9833333333333334
Neville,0.7875,0.85,0.7,0.7,,,,,,0.7799999999999999,
Luna,0.8500000000000001,0.6749999999999999,0.3,0.8666666666666667,0.5,0.8,,,,0.6333333333333333,
Horace Slughorn,0.7733333333333335,0.8533333333333334,0.8750000000000001,0.8,0.7000000000000001,0.7666666666666666,0.45,0.2,0.9,0.8464285714285715,0.85
Draco Malfoy,0.6000000000000001,0.7875000000000001,0.8903846153846152,0.6,0.8,0.9000000000000001,0.6714285714285716,0.7833333333333333,1.0,0.675,0.9121212121212121
Lavender Brown,,0.5,,1.0,0.9,0.7,0.8,,0.86,0.8,1.0
Lord Voldemort,0.475,0.7166666666666667,0.9,0.65,,0.65,0.6333333333333333,0.5,0.7,0.7000000000000001,1.0
Lupin,0.9666666666666667,0.3,0.7,0.5,0.6,0.7999999999999999,,,,0.9666666666666667,1.0
Hagrid,0.8150000000000001,0.7000000000000001,0.86,0.8769230769230769,0.86,0.6,,0.95,,0.881818181818182,0.8833333333333333
Madam Malkin,0.3,0.8,,0.2,,0.8,,,,,0.9
Narcissa,0.7700000000000001,0.5,0.8666666666666667,0.8,0.9,0.7,0.7,0.9,1.0,0.8,0.95
Fred Weasley,1.0,0.5,0.5333333333333333,0.9666666666666667,0.8,0.5,0.5,,,0.665,0.9375
George,1.0,0.9,,,0.6666666666666666,0.5,0.5,,,0.8571428571428571,
Nymphadora Tonks,0.9,0.7999999999999999,,1.0,0.6499999999999999,0.7,,,,0.58,0.95
Severus Snape,0.7318181818181819,0.875,0.7466666666666665,0.6000000000000001,0.6333333333333333,0.7888888888888891,0.825,1.0,1.0,0.86,0.8556390977443609
Professor Trelawney,0.39999999999999997,0.7266666666666667,0.7,0.9666666666666667,0.6,0.7,,0.4,,0.7,1.0
Hepzibah Smith,0.7000000000000001,0.6333333333333333,,0.65,,,0.7,,0.7,0.7166666666666667,
Minerva McGonagall,0.7749999999999999,0.6333333333333333,0.8,1.0,0.6333333333333333,0.7666666666666666,,,,1.0,0.925
Scrimgeour,,0.85,,,,0.8666666666666667,,1.0,,0.575,0.9400000000000001
Vernon Dursley,,,0.86,1.0,0.0,1.0,0.5,,,0.65,0.95
Kreacher,0.5666666666666667,1.0,0.8666666666666667,0.5,,0.9,,,,0.9,1.0
Dobby,1.0,,,0.75,,,,,,1.0,1.0
Bellatrix Lestrange,0.6,1.0,0.7,,,0.8500000000000001,0.7666666666666667,0.9333333333333332,,0.825,0.9388888888888889
Prime Minister,0.55,0.9,0.7999999999999999,,1.0,0.9,,0.65,,,0.9714285714285714
Fudge,0.8,0.9400000000000001,0.875,,1.0,1.0,0.9,,,,0.99
